iter	Passed	Remaining
0	0	66
1	1	59
2	1	55
3	2	50
4	2	49
5	3	48
6	3	47
7	4	47
8	4	46
9	5	45
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	8	42
16	8	41
17	8	40
18	9	40
19	9	39
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	20	30
40	20	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	56	0
