iter	Passed	Remaining
0	142	141973
1	143	71427
2	143	47795
3	144	35957
4	145	28867
5	145	24140
6	146	20768
7	148	18377
8	148	16392
9	149	14807
10	150	13506
11	150	12414
12	151	11490
13	151	10699
14	152	10012
15	153	9418
16	153	8887
17	154	8418
18	154	7995
19	155	7619
20	156	7276
21	156	6968
22	158	6719
23	158	6458
24	159	6215
25	159	5990
26	160	5783
27	161	5589
28	161	5409
29	162	5243
30	162	5087
31	163	4941
32	163	4804
33	164	4677
34	165	4555
35	165	4439
36	166	4330
37	167	4228
38	167	4130
39	168	4036
40	168	3947
41	169	3863
42	169	3782
43	170	3706
44	171	3632
45	171	3562
46	172	3498
47	173	3433
48	173	3372
49	174	3315
50	175	3257
51	175	3203
52	176	3149
53	176	3097
54	177	3047
55	177	2999
56	178	2952
57	179	2908
58	179	2867
59	180	2827
60	181	2787
61	181	2749
62	182	2711
63	182	2675
64	183	2640
65	184	2606
66	184	2572
67	185	2541
68	186	2512
69	187	2487
70	187	2459
71	188	2434
72	189	2407
73	190	2381
74	191	2356
75	191	2330
76	192	2305
77	192	2281
78	193	2256
79	194	2233
80	194	2210
81	195	2188
82	195	2163
83	196	2142
84	197	2121
85	197	2101
86	198	2081
87	198	2061
88	199	2042
89	200	2023
90	200	2006
91	202	1996
92	202	1979
93	203	1962
94	204	1946
95	204	1930
96	205	1914
97	206	1899
98	206	1883
99	207	1868
100	208	1853
101	208	1838
102	209	1824
103	210	1809
104	210	1795
105	211	1781
106	211	1768
107	212	1754
108	213	1741
109	213	1728
110	214	1716
111	214	1703
112	215	1692
113	216	1682
114	217	1672
115	218	1662
116	218	1651
117	219	1641
118	220	1630
119	220	1619
120	221	1608
121	221	1597
122	222	1587
123	223	1577
124	224	1568
125	224	1558
126	225	1548
127	225	1538
128	226	1528
129	227	1519
130	227	1509
131	228	1500
132	228	1491
133	229	1482
134	230	1473
135	230	1465
136	231	1457
137	232	1451
138	233	1444
139	233	1436
140	234	1428
141	234	1419
142	235	1411
143	236	1404
144	236	1396
145	237	1389
146	238	1381
147	238	1374
148	240	1371
149	240	1364
150	241	1357
151	242	1352
152	243	1346
153	243	1339
154	244	1335
155	245	1329
156	247	1330
157	248	1325
158	249	1318
159	250	1312
160	250	1305
161	251	1300
162	251	1293
163	252	1287
164	253	1281
165	253	1275
166	254	1270
167	255	1264
168	255	1258
169	256	1253
170	257	1248
171	258	1242
172	258	1237
173	259	1232
174	260	1227
175	261	1222
176	261	1217
177	262	1211
178	262	1206
179	263	1200
180	264	1196
181	265	1191
182	265	1186
183	266	1182
184	267	1177
185	267	1172
186	268	1167
187	269	1163
188	270	1160
189	271	1155
190	271	1150
191	272	1146
192	273	1142
193	273	1138
194	274	1133
195	275	1129
196	275	1124
197	276	1120
198	277	1116
199	277	1111
200	278	1107
201	279	1102
202	280	1099
203	280	1095
204	281	1091
205	281	1086
206	282	1082
207	283	1078
208	283	1074
209	284	1070
210	285	1066
211	285	1062
212	286	1058
213	287	1054
214	287	1050
215	288	1046
216	288	1042
217	289	1037
218	289	1033
219	290	1029
220	291	1026
221	291	1022
222	292	1019
223	293	1015
224	293	1011
225	294	1008
226	294	1004
227	295	1001
228	296	997
229	297	994
230	297	991
231	298	988
232	299	984
233	299	981
234	300	978
235	301	974
236	301	971
237	302	968
238	303	964
239	303	961
240	304	958
241	304	954
242	305	951
243	306	948
244	306	945
245	307	942
246	308	939
247	308	936
248	309	933
249	310	930
250	310	927
251	311	924
252	312	921
253	312	918
254	313	915
255	313	912
256	314	909
257	315	906
258	315	903
259	316	900
260	317	897
261	317	895
262	318	892
263	319	889
264	319	886
265	320	883
266	321	881
267	321	879
268	322	876
269	323	873
270	323	871
271	324	868
272	325	866
273	325	863
274	326	860
275	327	858
276	327	855
277	328	852
278	329	850
279	329	847
280	330	845
281	330	842
282	331	840
283	332	837
284	332	834
285	333	832
286	333	829
287	334	827
288	335	824
289	335	822
290	336	820
291	337	818
292	338	815
293	338	813
294	339	811
295	340	809
296	340	807
297	341	804
298	342	802
299	343	800
300	343	798
301	344	795
302	344	793
303	345	791
304	346	788
305	346	786
306	347	784
307	347	781
308	348	779
309	349	777
310	349	774
311	350	772
312	351	770
313	351	768
314	352	766
315	353	764
316	354	762
317	354	761
318	355	758
319	356	756
320	356	754
321	357	752
322	357	750
323	358	747
324	359	745
325	359	743
326	360	741
327	360	739
328	361	737
329	362	735
330	362	733
331	363	731
332	363	728
333	364	726
334	365	724
335	365	722
336	366	720
337	367	718
338	367	717
339	368	715
340	369	713
341	369	711
342	370	709
343	370	707
344	371	705
345	372	703
346	372	701
347	373	699
348	374	697
349	374	695
350	375	693
351	375	691
352	376	689
353	377	688
354	377	686
355	378	684
356	378	682
357	379	680
358	380	678
359	380	676
360	381	675
361	382	674
362	383	672
363	383	670
364	384	668
365	385	667
366	385	665
367	386	663
368	387	662
369	388	660
370	388	659
371	389	657
372	390	656
373	391	655
374	392	653
375	392	651
376	393	649
377	393	648
378	394	646
379	395	644
380	395	643
381	396	641
382	397	640
383	397	638
384	398	636
385	399	635
386	399	633
387	400	631
388	401	630
389	401	628
390	402	626
391	403	625
392	403	623
393	404	621
394	405	620
395	405	618
396	406	617
397	406	615
398	407	613
399	408	612
400	408	610
401	409	608
402	409	607
403	410	605
404	411	604
405	411	602
406	412	601
407	413	599
408	413	598
409	414	596
410	415	594
411	415	593
412	416	591
413	416	590
414	417	588
415	418	587
416	418	585
417	419	584
418	420	582
419	420	581
420	421	579
421	422	578
422	422	576
423	423	575
424	424	573
425	424	572
426	425	570
